Nro,Job Title,Description,Majors/Concentrations,Qualifications
1708,PRACTICANTE PMO ACCESO REDES,"Apoyo en el diseño y en la optimización de la ingeniería de Red de Acceso.
Soporte en la consolidación de la información de los proyectos de acceso.
Participación en la reuniones de proyecto.
Soporte en la consistencia de la información de los proyectos de acceso.
Soporte en la elaboración de los informes de medición de KPIs de los proyectos.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA",
1709,Supervisor de Producción - Villa El Salvador,"Actualmente, nos encontramos en la búsqueda de un Supervisor de Producción con disponibilidad en horario rotativo para laborar en Villa El Salvador:

FUNCIONES:
-Control del proceso de producción de la planta. 
-Realizar y Cumplir con el programas de producción.
-Organización y distribución del personal.
-Revisión y requerimiento de materia prima e insumos para atención de las órdenes de producción.
-Capacitar al personal a su cargo en temas referidos a la producción. 
-Vigilar el cumplimiento de las normas referidas a Calidad, seguridad y salud ocupacional y medio ambiente.
- Realizar charlas de seguridad

Enviar cv a rrhh1(a)tytingenieria.com.pe mencionando su pretensión salarial con el asunto Supervisor PRODUC","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","-Experiencia previa en puestos similares de  2 años, de preferencia en empresas  manufactureras.
-Disponibilidad para trabajar en Villa El Salvador horario rotativo: de 8:00 AM - 5:PM / 10:00 PM - 6:00 AM
-Manejo de Excel nivel Intermedio
- Ingeniero Mecánico o a fines"
1710,Supervisor de Producción - Villa El Salvador,"Actualmente, nos encontramos en la búsqueda de un Supervisor de Producción con disponibilidad en horario rotativo para laborar en Villa El Salvador:

FUNCIONES:
-Control del proceso de producción de la planta. 
-Realizar y Cumplir con el programas de producción.
-Organización y distribución del personal.
-Revisión y requerimiento de materia prima e insumos para atención de las órdenes de producción.
-Capacitar al personal a su cargo en temas referidos a la producción. 
-Vigilar el cumplimiento de las normas referidas a Calidad, seguridad y salud ocupacional y medio ambiente.
- Realizar charlas de seguridad

Enviar cv a rrhh1(a)tytingenieria.com.pe mencionando su pretensión salarial con el asunto Supervisor PRODUC","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","-Experiencia previa en puestos similares de  2 años, de preferencia en empresas  manufactureras.
-Disponibilidad para trabajar en Villa El Salvador horario rotativo: de 8:00 AM - 5:PM / 10:00 PM - 6:00 AM
-Manejo de Excel nivel Intermedio
- Ingeniero Mecánico o a fines"
1711,Asesor Técnico,"Asesoría, instalación, reparación y mantenimiento de máquinas Industria Plástica y Metalmecánica.
Reportes e informes técnicos profesionales. 
Venta de repuestos y servicios técnicos.
Preparación de planes de mantenimiento","INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","-       Profesión: Ing. Industrial, Mecánica de mantenimiento o Mecatrónica (Egresado o Titulado)
Experiencia mínima de 3 años en operación y mantenimiento de máquinas de Metalmecánica 
(Centros Mecanizados, Torno CNC, Fresadoras, Plegadoras, Rectificadoras, Erosionadoras y Afines.)
Conocimiento del idioma inglés Intermedio (Preferible)
Microsoft Office intermedio.
Edad: entre 25 y 35 años"
1712,Ingeniero Trainee,"Pertenecer al programa trainee de la empresa.
Brindar proyectos de mejora.
Reportar riesgos en las área de labores.","INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Ser egresado de las carreras universitarias de Ingeniería civil, mecánica, industrial, eléctrica y/o carreras afines (año de egreso solicitado 2014, 2015 o 2016)
Experiencia mínima de 6 meses de práctica en otras empresas
Manejo de Office a nivel Intermedio
Actitud para afrontar nuevos retos."
1713,Ejecutivo Comercial - Industrial,"- Facilitar a los clientes asesoría y asistencia permanente, aportándoles soluciones a sus necesidades logísticas. 
- Coordinar con los clientes las visitas técnicas y de negociación. 
- Efectuar el seguimiento, control y análisis de la evolución de la venta desde el ingreso de la información básica (IB) hasta el cierre de la venta, revisando la elaboración de presupuestos y demás documentos propios de su actividad. 
- Para proyectos integrales, convocar comisiones con los involucrados para el desarrollo de la entrega del producto.  
- Preparar y entregar reportes de su gestión.  
- Abrir mercado (prospección) incrementando la cartera de clientes y mantener o desarrollar los ya existentes utilizando las herramientas óptimas para una gestión efectiva.","ADMINISTRACIÓN, DISEÑO INDUSTRIAL, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Universitario Egresado de las carreras de Administración, Ingeniería Industrial o afines. 
- Conocimiento del rubro industrial y/o productos metal-mecánicos (venta de proyectos integrales, ventas técnicas). 
- Conocimiento de Lectura de planos industriales. 
- De Preferencia: Conocimientos en Normas ISO 9001, OHSAS 18001, ISO 14001 y/o afines. 
- DISPONIBILIDAD PARA LABORAR EN SAN JUAN DE LURIGANCHO"
1714,Asistente de Producción  Y Planeamiento,"- Actualizar los programas de producción y protocolos de producción. 
- Coordinar el abastecimiento de materia prima y suministros.
- Asegurar el cumplimiento del programa de producción. 
- Hacer seguimiento del avance de producción en planta","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Egresado universitario de la carrrera de Ingeniería Industrial, o Ingenieria Mecánica.
- Experiencia mínima 1 año en el puesto en INDUSTRIAS MANUFACTURERAS.
- Excel Intermedio."
1715,Asesor Comercial,"1. Registrar oportunamente la cotización en el sistema y gestionar con los Gerentes de Producto los descuentos necesarios para la cotización 
2. Enviar al cliente la cotización, solicitándole su confirmación de recepción, y hacer el seguimiento pertinente a las mismas. 
3. Hacer seguimiento a la entrega de las órdenes de pedido de los clientes 
4. Coordinar precios y cerrar las ventas provenientes de las Oportunidades de negocio 
5. Consolidar información semanales de cotizaciones y ventas","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA",
1716,Ingeniero Industrial Administrador - Servicios generales,"-Establece el cronograma de trabajos a cumplir en obras menores, trabajos no recurrentes y revisar la programación de atención de tickets elaborado por la servidesk, en caso de alguna observación.
-Impartir órdenes e instruye al grupo de trabajo sobre la forma a desarrollar las tareas asignadas.
-Inspeccionar el progreso, calidad y cantidad del trabajo realizado de manera aleatoria.
-Inspeccionar las edificaciones y sus alrededores para asegurarse de su estado de limpieza y del mantenimiento en general
-Llenar formatos de solicitudes de materiales y equipos, enviarlo a compras.
-Recibir materiales y equipos de trabajo y los distribuye a su personal.
-Estimar el tiempo y materiales requeridos para la ejecución de obras menores asignadas a su grupo de trabajo y mantiene el control de las mismas.
-Mantener registro de tiempos y materiales usados en los trabajos de manera digital y lo envía a la analista de la cuenta para su gestión.
-Elaborar Planillas NF y Presupuestos de cara al cliente.
-Elaborar informes detallados de los trabajos realizados, inconvenientes presentados y los presenta en el informe mensual al controler de la cuenta.
-Atender solicitudes y reclamos por mantenimiento en general e imparte las correspondientes órdenes para su solución.
-Velar por el buen uso y conservación de los equipos, herramientas y demás bienes asignados a la unidad a su cargo.
-Elaborar y presentar reportes estadísticos referidos a aspectos de su competencia según se lo soliciten.
-Reportar al controler de la cuenta las novedades ocurridas en la cuenta.
-Cumplir con las normas y procedimientos en materia de seguridad integral, establecidos por la organización.
-Mantener en orden el equipo y sitio de trabajo, reportado cualquier anomalía al controler de la cuenta.
-Elaborar informes periódicos de las actividades realizadas y lo envía al cliente.
-Verificar el cumplimiento por parte de la servidesk en el cierre de tickets pendientes o fuera de rango
-Ejecutar inspecciones y supervisión del mantenimiento preventivo y correctivo.
-Elaborar y enviar informe de las observaciones generadas durante los mantenimientos preventivos al cliente.
-Concientizar a los técnicos y proveedores en los temas relacionados al sistema Integrado de Gestión (Calidad, Seguridad, Medio Ambiente).
-Responsabilizarse por la seguridad y buena gestión ambiental de sus gestiones y de los colaboradores bajo su supervisión.
-Verificar, consolidar y aprobar las conformidades emitidas por los técnicos, proveedores; para la gestión de los pagos correspondientes.
-Diseñar y ajustar la programación global de mantenimiento de acuerdo a necesidades y recursos disponibles para el cumplimiento de la promesa pactada con el cliente.
-Asegurar la optimización de recursos humanos y de unidades y la eficiencia de los mismos.
-Identificar oportunidades de mejora en la programación de los mantenimientos y en el servicio de mantenimiento.
-Administración del contrato en general.
-Realizar cualquier otra tarea afín que le sea asignada y que se encuentra de acuerdo a puesto.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",
1717,Ingeniero NOC,"1.Asegurar el cumplimiento de los niveles de servicio, la disponibilidad, y el óptimo funcionamiento de la red e interconexiones de nuestros clientes.
2. Monitoreo de red satelital y microondas.
3. Ejecutar procedimientos de monitoreo, diagnóstico y escalamiento de averías.
4. Diseño y elabororación de herramientas de monitoreo de redes.
5. Soporte técnico a contratistas y personal de operaciones de campo.
6. Brindar soporte a las áreas de ingeniería en los trabajos programados.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","Conocimientos: Indispensable ingles avanzado,Microsoft Office, Visio, MS Project.
Experiencia: en monitoreo de redes y en la gestión de incidentes, problemas y requerimientos."
1718,Ingeniero de Proyectos Senior,"Encargado de la planificación, diseño y de efectuar supervisión de los proyectos en interior y/o superficie Mina, que sean encomendados al área a ser ejecutados en el ámbito de la Unidad Minera; con el fin de contribuir con la supervisión en garantizar la adecuada, oportuna y óptima ejecución de proyectos en calidad, tiempo y costos sugeridos.","INGENIERÍA CIVIL, INGENIERÍA CIVIL, INGENIERÍA DE MINAS, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, INGENIERÍA MECÁNICA",
1719,Asistente de Investigación,"Manejo y cuidado de equipos de caracterización avanzados. Además de llevar a cabo ensayos experimentales en equipos de caracterización avanzados (Microscopio de fuerza atómica, calorímetro de barrido diferencial, analizador dinámico-mecánico, etc.)
Diseño de experimentos y análisis de resultados.
Participar en el desarrollo de nuevas innovaciones mediante el diseño, elaboración y ejecución de nuevos proyectos.
Participar en la difusión de resultados por medios escritos, digitales, etc.","FÍSICA, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, QUÍMICA","Altamente motivado para participar en proyectos de innovación y desarrollo. La experiencia previa en otros proyectos de innovación será valorada pero no es indispensable.
Se requiere conocimiento de Inglés (nivel avanzado)."
1720,Ingeniero de Ventas - Empresa Transnacional Especialista en Automatización y Control,"- Responsable de visitar clientes nuevos o existentes promoviendo nuestros productos y aplicaciones para sus procesos.
- Captación, elaboración y evaluación técnica y económica de nuevos proyectos del mercado de válvulas de control.
- Informar oportunamente a su supervisor de cambios en el mercado, proyectos pendientes o perdidos.
- Desarrollar junto a su supervisor estrategias de venta y marketing (oportunidades, estructura de precios, soluciones técnicas, procedimientos de cotización, seguimiento y cierre de proyectos) y coordinar los recursos necesarios.
- Apoyo técnico y comercial a representantes locales, coordinación con servicios y ventas internas.
- Responsable de la preparación de informes de ventas en forma mensual, cuartal y anual.
- Introducir el producto al mercado de alimentos y bebidas / refinerías / minería.
- Desarrollo continuo de las ventas.
- Búsqueda de nuevas alternativas de negocio y contactos.","INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","- Experiencia en el área de ventas (2 - 3 años).
- Experiencia en ventas de válvulas de control, equipos de control o automatización o bombas centrífugas (1 año).
- Experiencia con productos similares (selección, configuración y operación)"
1721,Ingeniero de Ventas Industriales,"1. Manejo y actualización de cartera de clientes asignada. 
2. Asesoramiento a los clientes acerca de sus proyectos y negocios.
3. Comercialización y venta de productos geo sintéticos.
4. Coordinar con Logística, Finanzas y Cobranzas, y Despacho para el Cierre de Venta. 
5. Cumplir y superar las cuotas de ventas de los clientes a su cargo, motivar y conseguir el compromiso de todo el equipo. 
6. Elaborar estrategias de cierre de ventas.
7. Realizar reportes y manejar indicadores de gestión.
8. Prospección y ampliación del mercado de geo sintéticos a nivel nacional.","INGENIERÍA CIVIL, INGENIERÍA DE MINAS, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","1. Ingeniero titulado de las especialidades de Industrial, de Minas, Civil y Mecánica o afines. (Indispensable ser TITULADO)
2. Experiencia mínimo de 1 a 2 años en ventas de productos industriales, haber manejado clientes del sector minero y construcción, en el cargo de Ingeniero de Ventas, Ingeniero Comercial o afines.
3. Deseable con formación en técnicas de ventas y negociación.
4. Manejo de Office a nivel intermedio – avanzado.
5. Disponibilidad para trabajar de Lunes a Viernes de 8.30am a 6pm."
1722,Practicante de Soporte Técnico,"Apoyo para mantener al día todos los programas de mantenimiento preventivos de las marcas premium
Apoyo para seguimiento y control de Campañas de fabrica
Apoyo en la preparación y coordinación de entrenamientos
Apoyo con la coordinación de viaje de técnicos para capacitación o para servicios programados en provincias.
Mantener y publicar los boletines técnicos del fabricante
Apoyo con los accesos a todas las plataformas web de información y capacitación.
Mantener y revisar las herramientas especiales obligatorias para cada marca.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",
1723,CAD Intern - REVIT,"Desarrollo de planos en 2D y 3D de ingeniería básica y de detalle.
Desarrollo de modelos en 3D para el departamento de investigación y desarrollo de nuestra sede en USA.
Colaborar en los proyectos de innovación y mejoras del grupo CAD.","INGENIERÍA CIVIL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Dominar el diseño 3D en alguno de los siguientes programas: AutoCAD, Inventor y Revit (Requisito indispensable)
Habilidad de asimilar gran cantidad de información en poco tiempo.
Habilidad para la programación (puede ser en cualquier lenguaje informático).
Conocimiento de desarrollo de planos de piezas mecánica y estructurales, tolerancias y mecanizados.
Disponibilidad de tiempo para el cumplimiento de las 30 horas de prácticas pre-profesionales exigidas por ley.
Conocimientos de los programas Naviswork y Revit.
Tener un nivel avanzando de inglés: hablado y escrito."
1724,ANALISTA TI JUNIOR,"• Definir los requerimientos del usuario, teniendo en cuenta las interfaces con otros sistemas de Scotiabank, así como las limitaciones de hardware y software.
• Preparar especificaciones externas, generales y de detalle de diseño para el desarrollo de nuevas aplicaciones y / o mejoras o cambios en las aplicaciones existentes.
• Preparar especificaciones de diseño de las unidades de desarrollo y / o aplicaciones para identificar impacto en las aplicaciones que el titular es responsable.
• Evaluar los registros de producción y de servicio del sistema Requiere (SSR) de complejidad moderada e identifica las acciones a tomar.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","- Experiencia de 1 año laborando en el área de Tecnología de Información.
•	Unified Modeling Language (UML)
•	Metodologías de desarrollo de software (RUP, OPENUP, SCRUM, XP, etc)
•	Lenguajes tradicionales de desarrollo (NET, JAVA, COBOL, RPG, etc)
•	Herramientas de desarrollo rápido de aplicaciones
•	Herramientas de apoyo en el desarrollo y despliegue
•	Herramientas de modelamiento de base de datos
•	Herramientas de administración de base de datos
•	Entornos Integrados de desarrollo (IDE)
•	Sistemas operativos
•	Herramientas de office"
1725,Gerente Técnico / Operaciones,"•Planificar, coordinar, dirigir y supervisar los procesos productivos, mantenimientos y proyectos en la empresa.
•Responsabilizarse por el cumplimiento de las políticas de seguridad, gestión de riesgos y ambientales.
•Dirigir y supervisar el cumplimiento de especificaciones técnicas y estándares.
•Gestionar el proceso de innovación permanente en la empresa.
•Responsabilizarse porque el costo del producto terminado se encuentre dentro de los estándares establecidos.
•Las demás tareas que le asigne la gerencia general.","INGENIERÍA CIVIL, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","•	6 años de experiencia general.
•	3 a 4 años en el puesto de Gerente Comercial.
•	Manejo de FFVV.
•	Desarrollo de estrategia comercial.
•	Disponibilidad de viajar dentro y fuera de Lima."
1726,Analista de Seguridad Informática,"1. Administración de Plataformas de Seguridad con respecto a Antivirus, Proxy (Filtro Web), Firewall, IDS (Eventos OSIM), WSUS (Actualización de Software).
2. Administración de Plataformas de Seguridad con respecto Administración de Plataformas de Seguridad con respecto a Administración de acceso a plataformas (NT, OBSMS, SIGIC, RNET, UXPOS y WEB SSEE).
3. Coordinación y certificación WEB.
4. Coordinación con soporte externo (Refiere a la coordinación directa con los proveedores que brindan servicio a un determinado equipo o software relacionado).
5. Mantenimiento de equipos de seguridad (Refiere a la coordinación directa con los proveedores que brindan mantenimiento a equipos de comunicación y seguridad.","INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA","1. Conocimiento de ITIL, COBIT, ISO/IEC.
2. Conocimiento en administración de Firewall. 
3. Experiencia como analista de seguridad informática o áreas relacionadas a informática."
1727,Profesional de EnseñaPeru,"EnseñaPerú ofrece una oportunidad laboral única con enfoque experiencial y de desarrollo en habilidades blandas. 

El Programa de Liderazgo tiene una duración de 2 años a tiempo completo, donde:
-	Serás responsable de un curso o grado en un colegio donde existan brechas educativas y obtener resultados académicos sobresalientes.
-	Planificarás clases y actividades para los estudiantes y dentro de la institución educativa.
-	Diseñarás y ejecutarás las herramientas de evaluación para los estudiantes.
-	Gestionarás un proyecto sostenible de impacto para la comunidad (segundo año).","ADMINISTRACIÓN, ANTROPOLOGÍA, ARQUEOLOGÍA, ARQUITECTURA, ARTES ESCÉNICAS, BIBLIOTECOLOGÍA, CIENCIA POL. Y GOB. MENCIÓN ADM. Y GES.PUB., CIENCIA POL. Y GOB. MENCIÓN COMUNIC.POL., CIENCIA POLÍTICA Y GOBIERNO, CIENCIAS DE LA INFORMACIÓN, COMUNICACIÓN AUDIOVISUAL, COMUNICACIÓN PARA EL DESARROLLO, CONTABILIDAD, DERECHO, DISEÑO GRÁFICO, DISEÑO INDUSTRIAL, EDUCACIÓN ARTÍSTICA, EDUCACIÓN INICIAL, EDUCACIÓN PARA EL DESARROLLO, EDUCACIÓN PRIMARIA, EDUCACIÓN SECUNDARIA, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN CIENCIAS NATURALES, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FÍSICA Y QUÍMICA, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FILOSOFÍA Y CIENCIAS SOCIALES, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN FRANCÉS, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN HISTORIA Y GEOGRAFÍA, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN INGLÉS, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN LENGUA Y LITERATURA, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN MATEMÁTICAS, EDUCACIÓN SECUNDARIA CON ESPECIALIDAD EN TEOLOGÍA, ESCULTURA, FILOSOFÍA, GEOGRAFÍA Y MEDIO AMBIENTE, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, GRABADO, HISTORIA, INGENIERÍA CIVIL, INGENIERÍA DE LAS TELECOMUNICACIONES, INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA, LINGÜÍSTICA HISPÁNICA, LINGÜÍSTICA Y LITERATURA, LITERATURA HISPÁNICA, PERIODISMO, PERIODISMO (I), PINTURA, PSICOLOGÍA, PSICOLOGÍA CLÍNICA, PSICOLOGÍA EDUCACIONAL, PSICOLOGÍA SOCIAL, PUBLICIDAD, SERVICIO SOCIAL (TRUJILLO), SOCIOLOGÍA, TRABAJO SOCIAL, TRABAJO SOCIAL- FTS",
1728,CAP Nº 016- 2016 – Asesor Experto en Hidrocarburos Líquidos,"Por encargo de nuestro cliente, el Organismo Supervisor de la Inversión en Energía y Minería (OSINERGMIN), institución pública encargada de regular y supervisar a las empresas del sector eléctrico, hidrocarburos y minero; nos encontramos en búsqueda de un CAP Nº 016- 2016 – Asesor Experto en Hidrocarburos Líquidos

Funciones:
Asesorar a la división en los aspectos técnicos de su sector y/o ámbito de acción, relacionados con las funciones asignadas al área 
Revisar, visar y emitir opinión técnica sobre la documentación de la división en lo que respecta a informes, comunicaciones, contratos, concesiones, procesos de selección / contrataciones, proyectos normativos, entre otros, cuando sea requerido.
Atender las consultas técnicas que se encuentren dentro del ámbito de competencia de la división, preparando para ello las presentaciones e informes pertinentes.
Participar en la elaboración, seguimiento y evaluación del programa anual de supervisión, plan operativo y presupuesto de la gerencia, con el objeto de evaluar el cumplimiento del programa.
Participar o coordinar la participación de representantes de Osinergmin en los comités técnicos y/o foros especializados dentro del ámbito de la competencia de la gerencia
Analizar y evaluar el desempeño técnico de las unidades por encargo de la división para brindar soporte en el cumplimiento del plan operativo de la misma.
Participar en la determinación de metas anuales de las unidades de la división y efectuar el seguimiento para su cumplimiento.
Participar en actividades relacionadas al cumplimiento de normativas, reglamentos institucionales, planes operativos y estratégicos de su área, según las políticas y procedimientos dispuestos para tal fin, con el objetivo de contribuir a la mejora continua de su división y/o dar cumplimiento a la normativa legal vigente.","INGENIERÍA DE MINAS, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","No menor de cinco (10) años de experiencia general en entidades públicas o privadas.
No menor de tres (08) años de experiencia específica en puestos y/o funciones equivalentes, desde el nivel de Analista.
Formación Académica	
Titulo/Licenciatura en Ingeniería. 
Curso y/o estudio de especialización 
Master egresado en Administración, Regulación, Energía, Petróleo, Gas Natural, Procesos, Química, Mecánica de Fluidos, Ingeniería Mecánica o Ingeniería de Materiales.
Conocimientos para el puesto y/o cargo	
Mercado de hidrocarburos y energía.  Office (Word, Excel, Power Point, nivel básico) e inglés (nivel básico)."
1729,Asistente de Infraestructura de Almacenes,"Elaborar, actualizar y realizar el seguimiento de la puesta en vigencia de   los procedimientos, manuales, registros u otra documentación propia del área.
Verificar e informar el status del cumplimiento de los programas de mantenimiento y limpieza.
Verificar e informar oportunamente el cumplimiento del presupuesto y sus desviaciones.
Actualizar la información de indicadores del área mensualmente.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Bachiller en Ingeniería industrial, mecánica o afines.
Excel a nivel intermedio.
Experiencia mínima de 01 año en funciones similares."
1730,JEFE DE PLANTA METALMECÁNICA,"• Organizar y supervisar el desarrollo de las actividades en la planta de producción.
• Asegurar la calidad y cantidad estimada por la Gerencia en los plazos determinados.
• Revisar los presupuestos de fabricación para controlar y proponer gastos que no estén estipulados según el tipo de fabricación.
• Controlar la producción de contratistas y/o terceros.
• Realizar requerimientos de materiales y su seguimiento respectivo.
• Administrar recursos de fabricación (materiales, consumibles, equipos de seguridad).
• Generar los requerimientos para realizar los pagos a los contratistas además del seguimiento.  
• Supervisar que las maquinas se encuentren en perfectas condiciones de funcionamiento.
• Controlar el uso adecuado de los espacios de la planta.
• Establecer cronogramas de fabricación.
• Controlar las cargas de fabricación enviadas a los distintos talleres con las unidades asignadas al área.
• Solicitar nuevos recursos tanto para la ejecución como máquinas para producción. 
• Generar avances de trabajo según cada orden en cola de producción.","INGENIERÍA INDUSTRIAL, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","• Profesional titulado de la carrera de Ingeniería Mecánica, Ingeniería Industrial o carreras afines.
• Experiencia mínima de 4 años liderando equipos de trabajo en plantas de producción metalmecánica o de recubrimiento. 
• Experiencia en procesos de soldadura y armado de estructuras.
• Experiencia en diseño e ingeniería de estructuras grandes. 
• Conocimientos básicos en temas de seguridad laboral.
• Conocimiento de presupuestos.
• Manejo de Microsoft Office a nivel intermedio.
• Manejo de Autocad y Project a nivel intermedio. 
• Disponibilidad para laborar Lurín.  

COMPETENCIAS
• Liderazgo
• Planificación y gestión
• Orientación a los resultados
• Negociación
• Gestión"
1731,Planificador de Mantenimiento Preventivo,"- Planificar actividades para el programa de mantenimiento preventivo.
- Verificación y cumplimiento de actividades hayan sido ejecutadas según lo planificado.
- Analizar indicadores del las areas de fábrica.
- Mejorar el desempeño y aplicar metodos de trabajo.","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA",- 05 años de experiencia en puestos similares.
1732,Practicante División Rexroth,"- Apoyo en Análisis de mercado de automatización
- Utilizar herramientas adquiridas por Rexroth
- Apoyar al distribuidor en la atención de proyectos de automatización.
- Apoyar en la elaboración de estudio de Mercado.
- Apoyo en dar Soporte a proyectos de otras sucursales de Rexroth","INGENIERÍA ELECTRÓNICA, INGENIERÍA MECATRÓNICA, INGENIERÍA MECÁNICA","Proactivo
Organizado
Disposición de trabajo en equipo
Flexibilidad"
1733,Analista de Mantenimiento,"•	Definir, desarrollar e interpretar indicadores derivados de las plantilla de datos de la Gestión del área de Mantenimiento (Zendesk, people soft; Matriz de Mantenimiento).
•	Elaborar los informes de mantenimiento
•	Análisis de base de datos y casuísticas.
•	Auditorías internas de mantenimiento.
•	Identificar y proponer mejoras en los procesos de gestión de la información.
•	Dar soporte en las iniciativas del área  así como recomendaciones y proyecciones.
•	Apoyo para el control presupuesto anual y mensual  generando alertas que permitan identificar desvíos y las causas que las originan.
•	Seguimiento a Solicitudes, OC y Facturación.
•	Seguimiento a consumos de agua y luz.
•	Llevar control y registro de los materiales, herramientas y EPP’s entregados.
•	Analizar los cuadros de Gestión de mantenimiento para proponer mejoras.
•	Generar Aplicativos que ayuden a agilizar los tiempos de gestión.
•	 Contrastar y validar  la información del área de mantenimiento con la información generada del sistema financiero de la empresa (People soft)
•	Monitorear el cumplimiento del programa de mantenimiento.
•	Las que asigne la Jefatura de Mantenimiento.","ADMINISTRACIÓN, GESTIÓN, GESTIÓN EMPRESARIAL, GESTIÓN INSTITUCIONAL, GESTIÓN PÚBLICA, GESTIÓN SOCIAL, INGENIERÍA ELECTRÓNICA, INGENIERÍA INDUSTRIAL, INGENIERÍA INFORMÁTICA, INGENIERÍA MECATRÓNICA","•	Bachiller en Ingeniería Industrial, Administración de Empresas o afines.
•	Manejo de Word, Excel y Power Point a nivel Avanzado.
•	Manejo de MySQL y Access a nivel Avanzado. 
•	Conocimiento de Diseño y gestión de Indicadores.
•	Experiencia de 2 años realizando funciones similares a la posición indicada."
